team_id,team_name,short_name,team_code,country_id,country,country_code,founded_year,stadium,club_colors,website,address,coach_id,coach_name,coach_nationality,coach_birth_date,crest_url
110,SS Lazio,Lazio,LAZ,2114,Italy,ITA,1900,Stadio Olimpico,White / Sky Blue,http://www.sslazio.it,"Via di Santa Cornelia, 1000 Formello 00060",,Unknown,Unknown,,https://crests.football-data.org/110.png
113,SSC Napoli,Napoli,NAP,2114,Italy,ITA,1904,Stadio San Paolo,Sky Blue / White,http://www.sscnapoli.it,"Centro Tecnico di Castel Volturno, Via S.S. Domitana, Km 35 Castel Volturno 81030",,Unknown,Unknown,,https://crests.football-data.org/113.png
719,SV 07 Elversberg,Elversberg,ELV,2088,Germany,DEU,1907,Ursapharm-Arena an der Kaiserlinde,Black / White,http://www.sv07elversberg.de,St. Ingberter Straße 8 Spiesen-Elversberg 66583,,Unknown,Unknown,,https://crests.football-data.org/719.png
12,SV Werder Bremen,Bremen,SVW,2088,Germany,DEU,1899,Weserstadion,Green / White,http://www.werder.de,Franz-Böhmert-Str. 1c Bremen 28205,,Unknown,Unknown,,https://crests.football-data.org/12.png
559,Sevilla FC,Sevilla FC,SEV,2224,Spain,ESP,1905,Estadio Ramón Sánchez Pizjuán,White / Red,http://www.sevillafc.es,"Calle Sevilla Fútbol Club, s/n Sevilla 41005",,Unknown,Unknown,,https://crests.football-data.org/559.png
1903,Sport Lisboa e Benfica,SL Benfica,BEN,2187,Portugal,POR,1904,Estádio do Sport Lisboa e Benfica,Unknown,https://www.slbenfica.pt,Avenida General Norton de Matos 1500 Lissabon null,,Unknown,Unknown,,https://crests.football-data.org/1903.png
498,Sporting Clube de Portugal,Sporting CP,SPO,2187,Portugal,POR,1906,Estádio José Alvalade,Green / White,http://www.sporting.pt,"Edifício Visconde de Alvalade, Apartado 42099 Lisboa 1601-801",,Unknown,Unknown,,https://crests.football-data.org/498.png
71,Sunderland AFC,Sunderland,SUN,2072,England,ENG,1879,Stadium of Light,Red / White,http://www.safc.com,The Sunderland Stadium of Light Sunderland SR5 1SU,,Unknown,Unknown,,https://crests.football-data.org/71.png
2,TSG 1899 Hoffenheim,Hoffenheim,TSG,2088,Germany,DEU,1921,PreZero Arena,Blue / White,http://www.achtzehn99.de,Horrenberger Straße 58 Zuzenhausen 74939,,Unknown,Unknown,,https://crests.football-data.org/2.png
586,Torino FC,Torino,TOR,2114,Italy,ITA,1894,Stadio Olimpico di Torino,Brown / White,http://www.torinofc.it,Via Arcivescovado 1 Torino 10122,,Unknown,Unknown,,https://crests.football-data.org/586.png
73,Tottenham Hotspur FC,Tottenham,TOT,2072,England,ENG,1882,Tottenham Hotspur Stadium,Navy Blue / White,http://www.tottenhamhotspur.com,"Bill Nicholson Way, 748 High Road London N17 0AP",,Unknown,Unknown,,https://crests.football-data.org/73.png
5890,US Lecce,Lecce,USL,2114,Italy,ITA,1908,Stadio Comunale Via Del Mare,Yellow / Red / Navy Blue,http://www.uslecce.it,Via Templari 11 Lecce 73100,,Unknown,Unknown,,https://crests.football-data.org/5890.png
471,US Sassuolo Calcio,Sassuolo,SAS,2114,Italy,ITA,1920,Mapei Stadium - Città del Tricolore,Green / Black,http://www.sassuolocalcio.it,"Piazza Risorgimento, 47 Sassuolo 41049",,Unknown,Unknown,,https://crests.football-data.org/471.png
115,Udinese Calcio,Udinese,UDI,2114,Italy,ITA,1896,Dacia Arena,White / Black,http://www.udinese.it,Via Agostino e Angelo Candolini 2 Udine 33100,,Unknown,Unknown,,https://crests.football-data.org/115.png
95,Valencia CF,Valencia,VAL,2224,Spain,ESP,1919,Estadio de Mestalla,White / Orange / Black,http://www.valenciacf.com,"Plaza del Valencia Club de Fútbol, 2 Valencia 46010",,Unknown,Unknown,,https://crests.football-data.org/95.png
454,Venezia FC,Venezia FC,VEN,2114,Italy,ITA,1907,Stadio Pierluigi Penzo,Orange / Black / Green,http://www.veneziafc.club,"Viale Ancona, 43 Venezia 30172",,Unknown,Unknown,,https://crests.football-data.org/454.png
10,VfB Stuttgart,Stuttgart,VFB,2088,Germany,DEU,1893,Mercedes-Benz Arena,White / Red,http://www.vfb.de,Mercedesstraße 109 Stuttgart 70372,,Unknown,Unknown,,https://crests.football-data.org/10.png
94,Villarreal CF,Villarreal,VIL,2224,Spain,ESP,1923,Estadio de la Cerámica,Yellow / Blue,http://www.villarrealcf.es,"Camino Miralcamp, s/n Villarreal 12540",,Unknown,Unknown,,https://crests.football-data.org/94.png
